"start","end","pollster","size","error","type","epn.gross","jvm.gross","amlo.gross","gqt.gross","epn","jvm","amlo","gqt","no.answer","date"
2012-02-17,2012-02-19,"Milenio-GEA ISA",1000,0.04,"Vivienda",NA,NA,NA,NA,0.43,0.35,0.21,0.01,NA,2012-02-18
2012-03-17,2012-03-24,"Milenio-GEA ISA",1146.83333333333,0.03,"Vivienda",0.322333333333333,0.2235,0.146166666666667,0.0055,0.462166666666667,0.3205,0.2095,0.00783333333333333,0.3025,2012-03-20
2012-03-23,2012-03-31,"Milenio-GEA ISA",1144.85714285714,0.03,"Vivienda",0.323857142857143,0.208571428571429,0.129428571428571,0.00228571428571429,0.487428571428571,0.314,0.194857142857143,0.00371428571428571,0.335857142857143,2012-03-27
2012-03-30,2012-04-07,"Milenio-GEA ISA",1143.71428571429,0.03,"Vivienda",0.356142857142857,0.212714285714286,0.150714285714286,0.00657142857142857,0.490714285714286,0.293142857142857,0.208285714285714,0.00885714285714286,0.274,2012-04-03
2012-04-06,2012-04-14,"Milenio-GEA ISA",1152,0.0298571428571429,"Vivienda",0.392,0.195714285714286,0.153857142857143,0.00828571428571429,0.522857142857143,0.261142857142857,0.205714285714286,0.0112857142857143,0.250142857142857,2012-04-10
2012-04-13,2012-04-21,"Milenio-GEA ISA",1149.28571428571,0.03,"Vivienda",0.390428571428571,0.196428571428571,0.166428571428571,0.0111428571428571,0.510714285714286,0.257,0.217285714285714,0.0145714285714286,0.235571428571429,2012-04-17
2012-04-20,2012-04-28,"Milenio-GEA ISA",1151.28571428571,0.03,"Vivienda",0.374285714285714,0.198285714285714,0.170857142857143,0.0127142857142857,0.495,0.262142857142857,0.226,0.0168571428571429,0.243857142857143,2012-04-24
2012-04-27,2012-05-05,"Milenio-GEA ISA",1150.57142857143,0.03,"Vivienda",0.376714285714286,0.204428571428571,0.168142857142857,0.0127142857142857,0.494285714285714,0.268428571428571,0.220714285714286,0.0165714285714286,0.238,2012-05-01
2012-05-04,2012-05-12,"Milenio-GEA ISA",1152,0.03,"Vivienda",0.357,0.197666666666667,0.192166666666667,0.0336666666666667,0.4585,0.2525,0.245166666666667,0.0438333333333333,0.2195,2012-05-08
2012-05-11,2012-05-19,"Milenio-GEA ISA",1118.4,0.032,"Vivienda",0.3674,0.2068,0.1906,0.0481,0.4513,0.2553,0.234,0.0594,0.1871,2012-05-14
