"start","end","pollster","size","type","error","epn","jvm","amlo","gqt","epn.gross","jvm.gross","amlo.gross","gqt.gross","no.answer","date"
2012-06-25,2012-06-27,"Milenio-GEA ISA",1144,"Vivienda",0.03,0.469,0.224,0.285,0.022,0.395,0.189,0.241,0.018,0.157,2012-06-26
2012-06-24,2012-06-26,"Milenio-GEA ISA",1152,"Vivienda",0.03,0.467,0.226,0.281,0.026,0.398,0.192,0.239,0.022,0.149,2012-06-25
2012-06-23,2012-06-25,"Milenio-GEA ISA",1152,"Vivienda",0.03,0.455,0.248,0.269,0.028,0.388,0.211,0.229,0.023,0.149,2012-06-24
2012-06-21,2012-06-24,"Grupo Reforma",1616,"Vivienda",0.027,0.41,0.24,0.31,0.04,0.322,0.188,0.241,0.036,0.213,2012-06-23
2012-06-21,2012-06-24,"SDP Noticias-Covarrubias",1500,"Vivienda",0.0253,0.41,0.26,0.3,0.03,0.38,0.25,0.28,0.03,0.06,2012-06-23
2012-06-21,2012-06-24,"UNO TV-María de las Heras",1500,"Vivienda",0.026,0.402,0.229,0.324,0.045,NA,NA,NA,NA,NA,2012-06-23
2012-06-22,2012-06-24,"Consulta Mitofsky",1000,"Vivienda",0.031,0.445,0.241,0.294,0.02,0.384,0.208,0.254,0.018,0.136,2012-06-23
2012-06-22,2012-06-24,"El Universal-Buendía y Laredo",2000,"Vivienda",0.025,0.45,0.244,0.279,0.027,0.412,0.206,0.238,0.02,0.124,2012-06-23
2012-06-22,2012-06-24,"Excélsior-Ulises Beltrán",1200,"Vivienda",0.029,0.44,0.25,0.28,0.03,NA,NA,NA,NA,NA,2012-06-23
2012-06-22,2012-06-24,"Grupo Fórmula-Con Estadística",1150,"Vivienda",0.03,0.444,0.247,0.267,0.042,0.363,0.202,0.218,0.035,0.182,2012-06-23
2012-06-22,2012-06-24,"Milenio-GEA ISA",1152,"Vivienda",0.03,0.448,0.258,0.267,0.027,0.383,0.221,0.228,0.023,0.145,2012-06-23
2012-06-20,2012-06-25,"Indemerc",2000,NA,NA,0.472,0.228,0.271,0.029,NA,NA,NA,NA,NA,2012-06-22
