"Del","al","Encuesta","Muestra","Levantamiento","Error","Enrique Peña Nieto (PRI-PVEM)","Josefina Vázquez Mota (PAN)","Andrés Manuel López Obrador (PRD-PT-MC)","Gabriel Quadri de la Torre (Panal)","No respuesta","Ventaja"
"25/06/12","27/06/12","Milenio-GEA ISA",1144,"Vivienda","±3%",46.9,22.4,28.5,2.2,"ND","Peña +18.4"
"24/6/12","26/6/12","Milenio-GEA ISA",1152,"Vivienda","±3%",46.7,22.6,28.1,2.6,"ND","Peña +18.6"
"23/6/12","25/6/12","Milenio-GEA ISA",1152,"Vivienda","±3%",45.5,24.8,26.9,2.8,"ND","Peña +18.6"
"22/6/12","24/6/12","Milenio-GEA ISA",1152,"Vivienda","±3%",44.8,25.8,26.7,2.7,"ND","Peña +18.1"
"22/6/12","24/6/12","Consulta Mitofsky",1000,"Vivienda","±3.1%",44.5,24.1,29.4,2,"ND","Peña +15.1"
"22/6/12","24/6/12","Grupo Fórmula-Con Estadística",1150,"Vivienda","±3%",44.4,24.7,26.7,4.2,"ND","Peña +17.7"
"22/6/12","24/6/12","Excélsior-Ulises Beltrán",1200,"Vivienda","±2.9%",44,25,28,3,"ND","Peña +16.0"
"22/6/12","24/6/12","El Universal-Buendía y Laredo",2000,"Vivienda","±2.5%",45,24.4,27.9,2.7,"ND","Peña +17.1"
"21/6/12","23/6/12","Milenio-GEA ISA",1152,"Vivienda","±3%",45.2,25.1,26.8,2.9,"ND","Peña +18.4"
"21/6/12","24/6/12","UNO TV-María de las Heras",1500,"Vivienda","±2.6%",40.2,22.9,32.4,4.5,"ND","Peña +7.8"
"21/6/12","24/6/12","Grupo Reforma",1616,"Vivienda","±2.7%",41,24,31,4,"ND","Peña +10.0"
"21/6/12","24/6/12","SDP Noticias-Covarrubias",1500,"Vivienda","±2.53%",41,26,30,3,"ND","Peña +11.0"
"20/6/12","22/6/12","Milenio-GEA ISA",1152,"Vivienda","±3%",45.4,24.2,27.3,3.1,"ND","Peña +18.1"
"19/6/12","21/6/12","Milenio-GEA ISA",1150,"Vivienda","±3%",46.4,23.7,27.2,2.7,"ND","Peña +19.2"
